DATE,Volume_9008,Volume_9042,Volume_9439,Turnover_9008,Turnover_9042,Turnover_9439
10/22/2024,4000,0,0,2679,0,0
10/23/2024,54200,72500,83200,36341,77621,89629
10/24/2024,100,0,5000,68,0,5400
10/25/2024,0,0,0,0,0,0
10/28/2024,131200,186300,116500,93266,210774,131778
10/30/2024,49100,500,100,35543,577,115
10/31/2024,46000,0,0,31923,0,0
11/1/2024,0,0,0,0,0,0
11/4/2024,0,500,0,0,540,0
11/5/2024,471300,686500,236000,345919,810483,277609
11/6/2024,54500,302300,23200,40864,362813,27840
11/7/2024,100,52000,16600,75,62834,20086
11/8/2024,,0,0,0,0,0
11/11/2024,472600,1212300,30400,418176,1730222,43176
11/12/2024,188700,597800,146000,164640,835358,204876
11/13/2024,100,1700400,76100,89,2445683,109546
11/14/2024,100,25100,1500,87,35391,2163
11/15/2024,,0,0,0,0,0
11/18/2024,8700,136500,10000,7899,200643,14700
11/19/2024,0,177300,10000,0,261263,14860
11/20/2024,0,2501600,0,0,3852923,0
11/21/2024,47800,1337000,22000,47254,2125295,34872
11/22/2024,0,0,0,0,0,0
11/25/2024,1900,904500,25400,1792,1357449,38552
11/26/2024,0,391200,0,0,575683,0
11/27/2024,151400,13000,0,145538,19786,0
11/28/2024,35000,78700,0,33740,120720,0
11/29/2024,0,0,0,0,0,0
12/2/2024,20900,10000,30000,20084,15220,46080
12/3/2024,26100,135900,250000,25003,207004,384520
12/4/2024,1364700,5221200,1261100,1377797,8474895,2049358
12/5/2024,424700,6928600,97500,415700,10818926,152456
12/6/2024,0,0,0,0,0,0
12/9/2024,400,49300,16200,388,76252,25077
12/10/2024,0,23600,50300,0,36543,77526
12/11/2024,0,314100,149700,0,503197,242182
12/12/2024,0,10200,70000,0,16157,111580
12/13/2024,0,0,0,0,0,0
12/16/2024,1400,453400,0,1486,767665,0
12/17/2024,51200,1384700,30200,53062,2285196,50192
12/18/2024,10000,2048000,30000,9955,3257221,47640
12/19/2024,500,99400,47100,486,153333,73254
12/20/2024,0,0,0,0,0,0
12/23/2024,1800,345800,0,1690,512816,0
12/24/2024,0,0,0,0,0,0
12/27/2024,0,0,0,0,0,0
12/30/2024,9000,200,0,8262,292,0
12/31/2024,0,0,0,0,0,0
1/2/2025,0,77000,0,0,118274,0
1/3/2025,0,0,0,0,0,0
1/6/2025,11600,664200,3000,11797,1068313,4896
1/7/2025,339319,341200,0,323501,519836,0
1/8/2025,77491,26800,17700,72558,40099,26620
1/9/2025,0,157300,0,0,234938,0
1/10/2025,0,0,0,0,0,0
1/13/2025,30000,495300,0,28596,746837,0
1/14/2025,1025,378100,0,997,583746,0
1/15/2025,400,117700,0,400,186627,0
1/16/2025,185972,385200,0,188148,620607,0
1/17/2025,0,0,0,0,0,0
