DATE,Volume_9008,Volume_9042,Volume_9439,Turnover_9008,Turnover_9042,Turnover_9439
30-Apr-24,0,0,466100,0,0,479272
2-May-24,44530,1139400,1108300,265142,1093756,1060200
3-May-24,0,0,0,0,0,0
6-May-24,44360,1400,1863100,279914,1430,1896757
7-May-24,2000,334900,18500,12430,334989,18502
8-May-24,5410,1700,9700,33187,1682,9548
9-May-24,12240,151800,56500,76993,152522,56987
10-May-24,0,0,0,0,0,0
13-May-24,1030,200,151200,6462,197,151030
14-May-24,0,0,0,0,0,0
16-May-24,0,903400,1600,,942090,1670
17-May-24,0,0,0,0,0,0
20-May-24,5080,30000,132800,36163,34255,151507
21-May-24,4580,100,131700,31991,112,147789
22-May-24,7270,4500,16500,50273,5013,18396
23-May-24,4900,27600,69400,33074,29863,75128
24-May-24,0,0,0,0,0,0
27-May-24,9180,5600,34900,63179,6191,38423
28-May-24,90,310100,33700,617,337972,37189
29-May-24,3200,128500,33400,21724,139735,36338
30-May-24,0,137400,0,0,150865,0
31-May-24,0,0,0,0,0,0
3-Jun-24,5800,0,59900,39875,0,66191
4-Jun-24,0,408000,163400,0,464466,186538
5-Jun-24,0,656000,200,0,747888,230
6-Jun-24,700,950500,217500,4980,1080115,248372
7-Jun-24,0,0,0,0,0,0
11-Jun-24,12270,162100,200,82414,175229,216
12-Jun-24,680,354200,3200,4610,383455,3468
13-Jun-24,5070,73300,4100,33841,78723,4387
14-Jun-24,0,0,0,0,0,0
17-Jun-24,12320,30300,444700,79700,31775,462723
18-Jun-24,,73000,183000,,76402,191570
19-Jun-24,3820,47500,77900,25021,50253,82306
20-Jun-24,24710,397800,10000,159183,411340,10380
21-Jun-24,0,0,0,0,0,0
24-Jun-24,300,124800,65000,1834,121948,63218
25-Jun-24,19930,487100,717900,123327,482774,715011
26-Jun-24,140,51800,0,854,50638,0
27-Jun-24,90,151000,9000,551,149597,8969
28-Jun-24,0,0,0,0,0,0
2-Jul-24,16460,141900,90400,100762,139861,88690
3-Jul-24,9760,1812000,80700,57719,1708677,76823
4-Jul-24,42580,2038800,1456500,238628,1833215,1301005
5-Jul-24,0,0,0,0,0,0
8-Jul-24,100,36600,96200,574,33594,87619
9-Jul-24,7880,81900,46800,46269,77312,44159
10-Jul-24,1200,70000,66400,6900,65149,61835
11-Jul-24,0,801300,0,0,735186,0
12-Jul-24,0,0,0,0,0,0
15-Jul-24,10,16900,57400,64,17533,59466
16-Jul-24,20,448300,0,131,471643,0
17-Jul-24,0,0,131200,0,0,136322
18-Jul-24,0,30900,42200,0,31703,43375
19-Jul-24,0,0,0,0,0,0
22-Jul-24,3740,292700,91800,25020,313526,98766
23-Jul-24,200,2500,0,1316,2640,0
24-Jul-24,100,444700,99100,643,456299,102149
25-Jul-24,6000,300,0,40410,320,0
26-Jul-24,0,0,0,0,0,0
29-Jul-24,1000,5100,18800,6600,5420,20040
30-Jul-24,7690,891200,157100,50602,937665,166743
31-Jul-24,9010,105900,71600,57437,108238,73735
1-Aug-24,8310,155100,0,53711,159126,0
2-Aug-24,0,0,0,0,0,0
5-Aug-24,48330,162400,239700,270596,145117,214998
6-Aug-24,14790,700100,400,84007,635704,365
7-Aug-24,63820,680700,362500,363431,617703,331041
