date,volume_9008,turnover_9008,volume_9042,turnover_9042,volume_9439,turnover_9439
,0.0,0,0.0,466100,0.0,479272.0
,44530.0,1093756,265142.0,1108300,1139400.0,1060200.0
,0.0,0,0.0,0,0.0,0.0
,44360.0,1430,279914.0,1863100,1400.0,1896757.0
,2000.0,334989,12430.0,18500,334900.0,18502.0
,5410.0,1682,33187.0,9700,1700.0,9548.0
,12240.0,152522,76993.0,56500,151800.0,56987.0
,0.0,0,0.0,0,0.0,0.0
,1030.0,197,6462.0,151200,200.0,151030.0
,0.0,0,0.0,0,0.0,0.0
,0.0,942090,,1600,903400.0,1670.0
,0.0,0,0.0,0,0.0,0.0
,5080.0,34255,36163.0,132800,30000.0,151507.0
,4580.0,112,31991.0,131700,100.0,147789.0
,7270.0,5013,50273.0,16500,4500.0,18396.0
,4900.0,29863,33074.0,69400,27600.0,75128.0
,0.0,0,0.0,0,0.0,0.0
,9180.0,6191,63179.0,34900,5600.0,38423.0
,90.0,337972,617.0,33700,310100.0,37189.0
,3200.0,139735,21724.0,33400,128500.0,36338.0
,0.0,150865,0.0,0,137400.0,0.0
,0.0,0,0.0,0,0.0,0.0
,5800.0,0,39875.0,59900,0.0,66191.0
,0.0,464466,0.0,163400,408000.0,186538.0
,0.0,747888,0.0,200,656000.0,230.0
,700.0,1080115,4980.0,217500,950500.0,248372.0
,0.0,0,0.0,0,0.0,0.0
,12270.0,175229,82414.0,200,162100.0,216.0
,680.0,383455,4610.0,3200,354200.0,3468.0
,5070.0,78723,33841.0,4100,73300.0,4387.0
,0.0,0,0.0,0,0.0,0.0
,12320.0,31775,79700.0,444700,30300.0,462723.0
,,76402,,183000,73000.0,191570.0
,3820.0,50253,25021.0,77900,47500.0,82306.0
,24710.0,411340,159183.0,10000,397800.0,10380.0
,0.0,0,0.0,0,0.0,0.0
,300.0,121948,1834.0,65000,124800.0,63218.0
,19930.0,482774,123327.0,717900,487100.0,715011.0
,140.0,50638,854.0,0,51800.0,0.0
,90.0,149597,551.0,9000,151000.0,8969.0
,0.0,0,0.0,0,0.0,0.0
,16460.0,139861,100762.0,90400,141900.0,88690.0
,9760.0,1708677,57719.0,80700,1812000.0,76823.0
,42580.0,1833215,238628.0,1456500,2038800.0,1301005.0
,0.0,0,0.0,0,0.0,0.0
,100.0,33594,574.0,96200,36600.0,87619.0
